,STT,Ngày tiếp nhận hồ sơ,Họ và tên,SĐT,Email,Prework,Đặc điểm ứng viên,Công ty hiện tại,Vị trí hiện tại,Ví trí có thể phù hợp,Unnamed: 10,Unnamed: 11,Tình trạng,Nguồn,FALSE,Mức độ tiềm năng
0,,2021-07-09 00:00:00,Đinh Thị Nga,249166091,CSVSfmJHYibZg@gmail.com,,Đã hẹn pv 15h ngày 9/9,,,,,,Pass CV,,FALSE,
1,,2021-07-09 00:00:00,Nguyễn Thị Ngọc Anh,527356348,GmPinPpbxvWXS@gmail.com,,Đã hẹn pv 10h ngày 9/9,,,,,,Pass CV,,FALSE,
2,,2021-07-09 00:00:00,Nguyễn Thị Thu Trang,279398113,wGdXDagPrAnCO@gmail.com,,,,,,,,Pass CV,,FALSE,
3,,2021-07-09 00:00:00,Đoàn Văn Tùng,381165239,wqeagQbimheri@gmail.com,,Đã gửi thư cảm ơn,,,,,,Pass CV,,FALSE,
4,,2021-07-09 00:00:00,Vũ Quỳnh Liên,808860383,fTXsgvuNNIBBG@gmail.com,,Đã nhận việc ở cty khác,,,,,,Pass CV,,FALSE,
5,,2021-09-09 00:00:00,Hoàng Tùng Long,867570010,MdmKVAJhyFkYE@gmail.com,,,,,,,,Pass CV,,FALSE,
6,,2021-09-09 00:00:00,Bùi Hồng Nhung,936362738,OiZiGfYzJYPnD@gmail.com,,Đã gửi thư cảm ơn,,,,,,Pass CV,,FALSE,
7,,2021-09-09 00:00:00,Nguyễn Thị Hiền,251799282,UdEcvpdRiHRPF@gmail.com,,Đã hẹn 15H T6 10/09,,,,,,Pass CV,,FALSE,
8,,2021-09-09 00:00:00,Phạm Đức Thịnh,625075373,yCtOwnItrlKjU@gmail.com,,,,,,,,Pass CV,,FALSE,
9,,2023-09-15 00:00:00,Ngô Khuyên Ngọc Vân,523041401,QJPixrcrDkNUR@gmail.com,,Đã hẹn 15H T6 17/09,,,,,,Pass CV,,FALSE,
10,,2023-09-15 00:00:00,Cao Thị Tình,173394271,NIBBGCXneFDLw@gmail.com,,Đã gửi thư cảm ơn,,,,,,Pass CV,,FALSE,
11,,2023-09-16 00:00:00,Nguyễn Thanh Thủy,015932824,OoHlncdPbVBey@gmail.com,,,,,,,,Pass CV,,FALSE,
12,,2023-09-16 00:00:00,Trần Thị Thu Uyên,193680800,ROzeTkdqMCJny@gmail.com,,Đã hẹn 10H T7 18/09',,,,,,Pass CV,,FALSE,
13,,2023-09-16 00:00:00,Nguyễn Thu Trang,106312923,kicqIzHtDTpAf@gmail.com,,Đã hẹn 10H T6 17/09,,,,,,Pass CV,,FALSE,
14,,2023-09-16 00:00:00,Phạm Hà Linh,242123543,UvZPJFXuaXRIf@gmail.com,,Đã hẹn 11H T6 17/09,,,,,,Pass CV,,FALSE,
15,,2023-09-16 00:00:00,Ngô Thị Chinh,730103527,TAFPtbaucMawi@gmail.com,,Đã hẹn 15H T3 21/09,,,,,,,,FALSE,
16,,2023-09-17 00:00:00,Bế Hồng Nhật,137705770,CcSQIoObPrsGT@gmail.com,,,,,,,,,,FALSE,
